timestamp,query,collections,reason,agent_response
2026-01-12 19:19:03,ピーター・マーティンス氏の退任後、ニューヨーク・シティ・バレエ団のダンサーたちはどのような情報を得られていませんでしたか？,livedoor,LOW_SCORE,(Search Failed)
2026-01-12 19:19:06,ピーター・マーティンス氏の退任後、ニューヨーク・シティ・バレエ団のダンサーたちはどのような情報を得られていませんでしたか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-12 19:19:09,ピーター・マーティンス氏の退任後、ニューヨーク・シティ・バレエ団のダンサーたちはどのような情報を得られていませんでしたか？,japanese_text,LOW_SCORE,(Search Failed)
2026-01-13 05:27:34,レベッカ・クローンが特に得意としていたバランシン作品の特徴は何ですか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-13 05:27:37,レベッカ・クローンが特に得意としていたバランシン作品の特徴は何ですか？,japanese_text,LOW_SCORE,(Search Failed)
2026-01-13 05:35:04,レベッカ・クローンが特に得意としていたバランシン作品の特徴は何ですか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-13 05:35:07,レベッカ・クローンが特に得意としていたバランシン作品の特徴は何ですか？,japanese_text,LOW_SCORE,(Search Failed)
2026-01-13 06:58:28,スーザン・ヘンドルはどのような才能を持っていますか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-13 06:58:33,スーザン・ヘンドルはどのような才能を持っていますか？,japanese_text,LOW_SCORE,(Search Failed)
2026-01-13 07:02:35,スーザン・ヘンドルはどのような才能を持っていますか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-13 07:02:41,スーザン・ヘンドルはどのような才能を持っていますか？,japanese_text,LOW_SCORE,(Search Failed)
2026-01-13 11:46:04,カリン・フォン・アロルディンゲンのどのような点がインスピレーションを与えますか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-13 11:46:10,カリン・フォン・アロルディンゲンのどのような点がインスピレーションを与えますか？,japanese_text,LOW_SCORE,(Search Failed)
2026-01-13 11:47:09,カリン・フォン・アロルディンゲンのどのような点がインスピレーションを与えますか？,wikipedia_ja,LOW_SCORE,(Search Failed)
2026-01-13 11:47:15,カリン・フォン・アロルディンゲンのどのような点がインスピレーションを与えますか？,japanese_text,LOW_SCORE,(Search Failed)
